source_publication,source_url
Campaign India,https://www.campaignindia.in/latest
Campaign India,https://www.campaignindia.in/latest/new-campaigns
Campaign India,https://www.campaignindia.in/news/regional
ET BrandEquity,https://brandequity.economictimes.indiatimes.com/news/marketing/marketing-matters-instamarts-lessons-on-delivering-a-data-led-campaign/132595429
Exchange4media,https://www.exchange4media.com/articles/2026-06-01.html
Exchange4media,https://www.exchange4media.com/articles/2026-06-08.html
Exchange4media,https://www.exchange4media.com/articles/2026-06-15.html
Exchange4media,https://www.exchange4media.com/articles/2026-06-18.html
Exchange4media,https://www.exchange4media.com/articles/2026-06-29.html
Exchange4media,https://www.exchange4media.com/articles/2026-07-02.html
Exchange4media,https://www.exchange4media.com/articles/2026-07-09.html
Exchange4media,https://www.exchange4media.com/articles/2026-07-13.html
Exchange4media,https://www.exchange4media.com/articles/2026-07-16.html
Exchange4media,https://www.exchange4media.com/articles/2026-07-20.html
Exchange4media,https://www.exchange4media.com/articles/2026-07-27.html
Exchange4media,https://www.exchange4media.com/articles/2026-07-30.html
Exchange4media,https://www.exchange4media.com/articles/2026-08-03.html
Exchange4media,https://www.exchange4media.com/articles/2026-08-06.html
Exchange4media,https://www.exchange4media.com/articles/2026-08-10.html
Exchange4media,https://www.exchange4media.com/articles/2026-08-13.html
Nykaa,https://www.nykaa.com/beauty-blog/nykaa-skincare-sale-2026
Zepto,https://zepto-landing-page.webflow.io/terms-conditions-independence-day-2026
